zip_code,latitude,longitude,temp_month_1,temp_month_2,temp_month_3,temp_month_4,temp_month_5,temp_month_6,temp_month_7,temp_month_8,temp_month_9,temp_month_10,temp_month_11,temp_month_12,avg_household_size,county,Sector,Total Usage
90058,33.9994,-118.2133,51.25806452,51.68928571,52.96451613,58.95,62.08064516,65.35666667,72.84516129,72.4483871,70.07666667,67.86129032,61.33,57.7516129,3.74,Los Angeles,Residential,23255.48301
90059,33.9293,-118.2463,51.5516129,51.76428571,53.21290323,58.52,61.92903226,64.81,71.68064516,71.47096774,69.54,67.10645161,60.81666667,57.55806452,4.03,Los Angeles,Residential,23255.48301
90061,33.9245,-118.2716,51.39677419,51.61785714,53.07096774,58.36666667,61.78387097,64.66666667,71.54193548,71.31935484,69.38666667,66.96774194,60.66,57.39677419,3.78,Los Angeles,Residential,23255.48301
90062,34.0032,-118.3073,51.39032258,51.76785714,53.03225806,58.17,61.51612903,64.54,71.57096774,71.6483871,69.34333333,67.13225806,60.74,57.41290323,3.46,Los Angeles,Residential,23255.48301
90063,34.0451,-118.1859,50.75806452,51.075,52.22903226,58.18,60.77096774,64.27333333,72.42580645,72.42258065,69.36666667,67.84516129,60.94,57.63548387,3.88,Los Angeles,Residential,23255.48301
90064,34.0353,-118.4259,52.00322581,52.42142857,52.97741935,58.18333333,60.1516129,63.35333333,71.25806452,72.28064516,68.74,67.26129032,61.17333333,57.03548387,2.24,Los Angeles,Residential,23255.48301
90065,34.1073,-118.2266,50.98709677,51.23928571,51.85483871,58.28,60.09032258,63.70333333,74.08064516,74.01290323,69.14666667,68.10322581,61.54666667,57.79032258,2.85,Los Angeles,Residential,23255.48301
90066,34.003,-118.4298,52.34193548,52.03928571,53.2,57.31666667,60.34193548,63.15,69.12580645,70.31935484,68.09,66.13870968,60.84666667,57.37096774,2.21,Los Angeles,Residential,23255.48301
90067,34.0551,-118.4095,51.46774194,51.86785714,52.42903226,57.63,59.60645161,62.79333333,70.69677419,71.74516129,68.18666667,66.71612903,60.63,56.5,1.61,Los Angeles,Residential,23255.48301
90068,34.1156,-118.3305,50.61612903,51.02142857,51.88064516,58.17333333,59.80967742,63.32666667,73.0483871,73.59354839,68.77333333,67.72903226,60.48333333,56.06451613,1.83,Los Angeles,Residential,23255.48301
90069,34.0906,-118.3788,50.85806452,51.48214286,52.47096774,57.88333333,60.48387097,63.84666667,71.91290323,72.22258065,68.98666667,67.32258065,60.54666667,56.73870968,1.57,Los Angeles,Residential,23255.48301
90071,34.0529,-118.2549,50.96774194,51.28571429,52.43870968,58.39333333,60.98387097,64.49,72.63870968,72.63225806,69.57333333,68.05806452,61.15,57.8516129,2.8,Los Angeles,Residential,23255.48301
90073,33.7866,-118.2987,52.98064516,52.43928571,53.53225806,57.19,60.34193548,63.02666667,68.07419355,69.16451613,67.84666667,65.83870968,60.99,58.01290323,-666666666,Los Angeles,Residential,23255.48301
90077,34.1112,-118.4502,49.72580645,50.38571429,50.62903226,57.36666667,58.45806452,61.96333333,72.49354839,72.66774194,67.59,67.03225806,59.44,54.97419355,2.62,Los Angeles,Residential,23255.48301
90079,33.7866,-118.2987,52.98064516,52.43928571,53.53225806,57.19,60.34193548,63.02666667,68.07419355,69.16451613,67.84666667,65.83870968,60.99,58.01290323,-666666666,Los Angeles,Residential,23255.48301
90089,33.7866,-118.2987,52.98064516,52.43928571,53.53225806,57.19,60.34193548,63.02666667,68.07419355,69.16451613,67.84666667,65.83870968,60.99,58.01290323,2.2,Los Angeles,Residential,23255.48301
90094,33.9728,-118.4276,52.49677419,52.19642857,53.34193548,57.46,60.48709677,63.29666667,69.28064516,70.45483871,68.24,66.28387097,60.99666667,57.52580645,2.06,Los Angeles,Residential,23255.48301
90095,33.7866,-118.2987,52.98064516,52.43928571,53.53225806,57.19,60.34193548,63.02666667,68.07419355,69.16451613,67.84666667,65.83870968,60.99,58.01290323,-666666666,Los Angeles,Residential,23255.48301
90201,33.9653,-118.1515,51.53225806,51.96785714,53.23548387,59.20333333,62.33870968,65.61666667,73.11612903,72.71612903,70.34333333,68.13870968,61.6,58.01612903,4,Los Angeles,Residential,23255.48301
90210,34.0901,-118.4065,50.61935484,51.04285714,51.59032258,56.80333333,58.77096774,61.96666667,69.87096774,70.9,67.35333333,65.88387097,59.80333333,55.64516129,2.47,Los Angeles,Residential,23255.48301
90211,34.0652,-118.383,51.47096774,52.09285714,53.08064516,58.48333333,61.09677419,64.45333333,72.52258065,72.83870968,69.59666667,67.92903226,61.16,57.35806452,2.41,Los Angeles,Residential,23255.48301
90212,34.0619,-118.3995,51.24516129,51.83571429,52.83870968,58.25333333,60.85483871,64.21333333,72.29354839,72.58064516,69.36333333,67.70322581,60.93,57.10967742,2,Los Angeles,Residential,23255.48301
90220,33.8748,-118.2402,51.49354839,51.62142857,53.18709677,58.39666667,61.63548387,64.48333333,71.2483871,71.08064516,69.19333333,66.84516129,60.62666667,57.19677419,3.73,Los Angeles,Residential,23255.48301
90221,33.8796,-118.2168,51.70322581,51.82857143,53.41290323,58.62,61.83870968,64.69,71.45806452,71.29032258,69.4,67.05483871,60.83,57.40645161,4.03,Los Angeles,Residential,23255.48301
90222,33.9099,-118.2357,51.62903226,51.83928571,53.28709677,58.58666667,62.00322581,64.89666667,71.75806452,71.53225806,69.61666667,67.18709677,60.89,57.61612903,3.94,Los Angeles,Residential,23255.48301
90230,33.9949,-118.3991,52.46774194,52.175,53.31935484,57.44,60.47419355,63.27666667,69.25806452,70.44193548,68.21333333,66.27096774,60.96666667,57.49032258,2.43,Los Angeles,Residential,23255.48301
90232,34.0168,-118.3973,52.28064516,51.98571429,53.12903226,57.25666667,60.28387097,63.08666667,69.08064516,70.2483871,68.02666667,66.07419355,60.77666667,57.30967742,2.15,Los Angeles,Residential,23255.48301
90240,33.9581,-118.1174,51.79354839,52.03928571,53.25483871,59.83333333,62.52580645,66.05333333,74.33225806,73.5483871,70.6,68.13870968,62.20666667,58.3,3.46,Los Angeles,Residential,23255.48301
90241,33.9416,-118.1306,51.64193548,52.03214286,53.3,59.55,62.57096774,65.77333333,73.54193548,72.69677419,70.25333333,67.98387097,61.82666667,57.98064516,3.15,Los Angeles,Residential,23255.48301
90242,33.9218,-118.1395,51.69677419,52.08928571,53.3483871,59.61666667,62.62258065,65.83,73.60645161,72.75806452,70.32,68.0516129,61.88333333,58.02903226,3.36,Los Angeles,Residential,23255.48301
90245,33.9243,-118.4119,52.47741935,52.05357143,53.25483871,56.94333333,60.29354839,62.92666667,68.46451613,69.50645161,67.94,65.71290323,60.72333333,57.70967742,2.43,Los Angeles,Residential,23255.48301
90247,33.8925,-118.2961,51.67741935,51.88928571,53.35806452,58.63666667,62.0516129,64.96,71.81290323,71.60322581,69.66333333,67.24193548,60.94333333,57.68387097,2.99,Los Angeles,Residential,23255.48301
90248,33.8766,-118.2835,51.76774194,51.90714286,53.47419355,58.68,61.91290323,64.75666667,71.51935484,71.36129032,69.46666667,67.13548387,60.90666667,57.47741935,2.96,Los Angeles,Residential,23255.48301
90249,33.8998,-118.3199,51.71935484,51.93214286,53.37741935,58.67333333,62.09677419,64.98666667,71.85806452,71.62258065,69.70666667,67.28064516,60.97333333,57.70645161,2.89,Los Angeles,Residential,23255.48301
90250,33.9143,-118.3493,52.52258065,52.11071429,53.30967742,56.99,60.3483871,62.96666667,68.52258065,69.54193548,67.97666667,65.74516129,60.77,57.75483871,3.01,Los Angeles,Residential,23255.48301
90254,33.8643,-118.3955,52.57419355,52.13214286,53.42903226,57.18,60.49032258,63.13666667,68.7483871,69.56774194,68.22666667,65.8516129,60.65666667,57.66451613,2.22,Los Angeles,Residential,23255.48301
90255,33.9769,-118.2161,51.37419355,51.83571429,53.09032258,59.07666667,62.20967742,65.47666667,72.97741935,72.58064516,70.2,68.00645161,61.46,57.89354839,3.98,Los Angeles,Residential,23255.48301
90260,33.8879,-118.351,52.55806452,52.13928571,53.33870968,57.02333333,60.38709677,63,68.5483871,69.58064516,68,65.78387097,60.79333333,57.79354839,3.27,Los Angeles,Residential,23255.48301
90262,33.9241,-118.2013,51.76129032,52.15,53.42258065,59.67,62.68709677,65.89333333,73.67096774,72.82258065,70.37666667,68.09032258,61.93666667,58.10322581,4.27,Los Angeles,Residential,23255.48301
90265,34.0402,-118.7351,52.60322581,52.48214286,52.85483871,57.94,59.39032258,62.29666667,70.78064516,72.12258065,68.06666667,67.56451613,62.01,57.74516129,2.47,Los Angeles,Residential,23255.48301
90266,33.8896,-118.3996,52.29677419,51.88928571,53.09032258,56.76333333,60.11935484,62.75,68.29354839,69.32580645,67.76666667,65.52580645,60.54,57.52903226,2.65,Los Angeles,Residential,23255.48301
90270,33.989,-118.1877,51.39677419,51.85714286,53.10322581,59.09,62.22903226,65.50333333,73.00967742,72.60322581,70.22,68.01612903,61.48666667,57.90322581,4,Los Angeles,Residential,23255.48301
90272,34.0481,-118.5265,52.28709677,52.13571429,52.52258065,57.60666667,59.04516129,61.97,70.45806452,71.79032258,67.73666667,67.22258065,61.67666667,57.40322581,2.63,Los Angeles,Residential,23255.48301
90274,33.7669,-118.3806,48.92258065,48.36428571,49.46129032,53.12,56.3,58.95333333,64.02580645,65.10645161,63.78333333,61.78709677,56.93666667,53.96129032,2.77,Los Angeles,Residential,23255.48301
90275,33.7515,-118.367,50.46451613,50.05357143,51.41290323,55.81,58.80645161,61.55666667,67.50645161,68.03870968,66.4,64.49677419,58.87333333,55.72580645,2.73,Los Angeles,Residential,23255.48301
90277,33.8307,-118.3832,52.28709677,51.84285714,53.13225806,56.88333333,60.20322581,62.84666667,68.4516129,69.27096774,67.93666667,65.55806452,60.36,57.37419355,2.16,Los Angeles,Residential,23255.48301
90278,33.8707,-118.3715,52.32580645,51.90357143,53.17419355,56.91333333,60.23870968,62.9,68.48387097,69.31612903,67.98,65.59677419,60.39333333,57.42580645,2.69,Los Angeles,Residential,23255.48301
90280,33.9462,-118.2013,51.67741935,52.06071429,53.32903226,59.59,62.60645161,65.80666667,73.59032258,72.74516129,70.3,68.01612903,61.86666667,58.01612903,3.91,Los Angeles,Residential,23255.48301
90291,33.9938,-118.4635,52.54193548,52.21428571,53.38387097,57.49333333,60.53548387,63.33333333,69.31612903,70.51612903,68.26666667,66.32258065,61.03,57.55483871,1.88,Los Angeles,Residential,23255.48301
90292,33.9779,-118.4525,52.6,52.29642857,53.45483871,57.57,60.59677419,63.4,69.38387097,70.57096774,68.34666667,66.38709677,61.1,57.62580645,1.83,Los Angeles,Residential,23255.48301
90293,33.9577,-118.4373,52.12580645,51.81071429,52.98064516,57.08333333,60.11935484,62.92,68.90322581,70.10322581,67.86333333,65.90967742,60.62,57.1483871,1.92,Los Angeles,Residential,23255.48301
90301,33.955,-118.3556,51.49032258,51.86785714,53.1483871,58.28,61.61612903,64.64,71.67419355,71.7516129,69.44666667,67.23548387,60.84333333,57.52258065,3.02,Los Angeles,Residential,23255.48301
95148,37.3304,-121.7913,49.45483871,46.94285714,49.36774194,54.73333333,59.23870968,63.61666667,68.79354839,70.40967742,66.20333333,65.13548387,56.39333333,52.57096774,3.88,Santa Clara,Residential,4249.975616
95616,38.5538,-121.7418,47.71935484,45.76071429,48.37419355,58.06333333,63.65806452,69.68333333,78.23870968,78.59677419,70.52666667,65.48709677,54.63666667,50.30645161,2.57,Yolo,Residential,590.727914
